Pattern,Meaning,Level,Usage,ExampleJapanese,ExampleVietnamese,CorrectCount,WrongCount,IsDifficult
たとえ～ても,Giả sử/thậm chí là...thì cũng,N3,"Cấu trúc: たとえ + Vても / Aいても.
Cách dùng: Dùng để diễn tả: giả sử/thậm chí là…thì cũng.",たとえ失敗しても、あきらめません。,"Dù có thất bại, tôi cũng không bỏ cuộc.",0,0,False
例えば,Ví dụ như/chẳng hạn như,N3,"Cấu trúc: 例えば + 例.
Cách dùng: Dùng để diễn tả: ví dụ như/chẳng hạn như.",日本の料理、例えば寿司やラーメンが好きです。,"Tôi thích món ăn Nhật, ví dụ như sushi và ramen.",0,0,False
てはじめて,Làm gì đó thì bắt đầu,N3,"Cấu trúc: Vて + はじめて.
Cách dùng: Dùng để diễn tả: làm gì đó thì bắt đầu.",一人暮らしをしてはじめて、親の大変さが分かりました。,"Sau khi sống một mình, tôi mới hiểu sự vất vả của bố mẹ.",0,0,False
てほしい,Muốn(ai đó)làm gì,N3,"Cấu trúc: 人に + Vて + ほしい.
Cách dùng: Dùng để diễn tả: muốn(ai đó)làm gì.",友達に手伝ってほしいです。,Tôi muốn bạn giúp tôi.,0,0,False
て済む,Chỉ tốn (có)/giải quyết xong (chỉ bằng)/chỉ cần...là xong,N3,"Cấu trúc: Vて + 済む.
Cách dùng: Dùng để diễn tả: chỉ tốn (có)/giải quyết xong (chỉ bằng)/chỉ cần…là xong.",電話一本で済みました。,Chỉ cần một cuộc điện thoại là xong.,0,0,False
的,Mang tính/ mang tính chất/về mặt...,N3,"Cấu trúc: N + 的.
Cách dùng: Dùng để diễn tả: mang tính/ mang tính chất/về mặt….",これはとても日本的な考え方です。,Đây là cách suy nghĩ rất Nhật Bản.,0,0,False
ても,Dù là/cho dẫu là,N3,"Cấu trúc: Vても / Aいても.
Cách dùng: Dùng để diễn tả: dù là/cho dẫu là.",雨が降っても、出かけます。,"Dù trời mưa, tôi vẫn ra ngoài.",0,0,False
といいなあ,Ước gì/mong sao,N3,"Cấu trúc: thể thông thường + といいなあ.
Cách dùng: Dùng để diễn tả: ước gì/mong sao.",明日晴れるといいなあ。,Ước gì ngày mai trời nắng.,0,0,False
といっても,Dù nói là...nhưng,N3,"Cấu trúc: thể thông thường + といっても.
Cách dùng: Dùng để diễn tả: dù nói là…nhưng.",日本語が話せるといっても、簡単な会話だけです。,"Dù nói là nói được tiếng Nhật, nhưng chỉ là hội thoại đơn giản thôi.",0,0,False
という,Cái gọi là,N3,"Cấu trúc: N / câu + という + N.
Cách dùng: Dùng để diễn tả: cái gọi là.",田中さんという人から電話がありました。,Có điện thoại từ một người tên Tanaka.,0,0,False
ということだ,Dường như là/có nghĩa là,N3,"Cấu trúc: thể thông thường + ということだ.
Cách dùng: Dùng để diễn tả: dường như là/có nghĩa là.",明日は休みだということです。,Nghe nói ngày mai được nghỉ.,0,0,False
というの,Cái việc/ cái gọi là,N3,"Cấu trúc: thể thông thường + というの.
Cách dùng: Dùng để diễn tả: cái việc/ cái gọi là.",彼が来ないというのは本当ですか。,Việc anh ấy không đến là thật sao?,0,0,False
というのは,Nghĩa là,N3,"Cấu trúc: N / câu + というのは.
Cách dùng: Dùng để diễn tả: nghĩa là.",敬語というのは、丁寧な話し方のことです。,Kính ngữ nghĩa là cách nói lịch sự.,0,0,False
というと,Nói đến,N3,"Cấu trúc: N + というと.
Cách dùng: Dùng để diễn tả: nói đến.",日本料理というと、寿司を思い出します。,Nói đến món Nhật thì tôi nhớ đến sushi.,0,0,False
というより,Hơn là nói,N3,"Cấu trúc: thể thông thường + というより.
Cách dùng: Dùng để diễn tả: hơn là nói.",彼は静かというより、元気がないようです。,"Anh ấy không phải là yên lặng, mà đúng hơn là có vẻ không khỏe.",0,0,False
ところだった,Suýt chút nữa thì,N3,"Cấu trúc: Vる + ところだった.
Cách dùng: Dùng để diễn tả: suýt chút nữa thì.",もう少しで電車に乗り遅れるところでした。,Suýt chút nữa tôi bị lỡ tàu.,0,0,False
ところで,Nhân tiện thì/nhân dịp,N3,"Cấu trúc: ところで + câu.
Cách dùng: Dùng để diễn tả: nhân tiện thì/nhân dịp.",ところで、週末は何をしますか。,"Nhân tiện, cuối tuần bạn làm gì?",0,0,False
ところが,Nhưng mà,N3,"Cấu trúc: ところが + câu.
Cách dùng: Dùng để diễn tả: nhưng mà.",彼に電話しました。ところが、出ませんでした。,Tôi đã gọi cho anh ấy. Nhưng anh ấy không nghe máy.,0,0,False
とく,"Làm sẵn, làm trước việc gì",N3,"Cấu trúc: Vて + おくのdạng nói chuyện.
Cách dùng: Dùng để diễn tả: làm sẵn, làm trước việc gì.",旅行の前にホテルを予約しときます。,Trước chuyến đi tôi sẽ đặt khách sạn trước.,0,0,False
とおり,Đúng như,N3,"Cấu trúc: Nの / Vる / Vた + とおり.
Cách dùng: Dùng để diễn tả: đúng như.",先生が言ったとおりに書いてください。,Hãy viết đúng như giáo viên đã nói.,0,0,False
通す,Làm cho đến cùng/liên tục làm/qua...,N3,"Cấu trúc: Vます + 通す.
Cách dùng: Dùng để diễn tả: làm cho đến cùng/liên tục làm/qua….",彼は自分の意見を最後まで言い通しました。,Anh ấy đã nói ý kiến của mình đến cùng.,0,0,False
としたら,Giả sử/nếu cho rằng,N3,"Cấu trúc: thể thông thường + としたら.
Cách dùng: Dùng để diễn tả: giả sử/nếu cho rằng.",留学するとしたら、日本に行きたいです。,Nếu đi du học thì tôi muốn đi Nhật.,0,0,False
ついでに,Nhân tiện.../Tiện thể,N3,"Cấu trúc: Vる / Vた + ついでに.
Cách dùng: Dùng để diễn tả: nhân tiện…/Tiện thể.",コンビニへ行くついでに、牛乳を買ってきます。,"Tiện đi cửa hàng tiện lợi, tôi sẽ mua sữa.",0,0,False
つまり,Hay nói cách khác là,N3,"Cấu trúc: つまり + câu.
Cách dùng: Dùng để diễn tả: hay nói cách khác là.",彼は来ません。つまり、会議は延期です。,"Anh ấy sẽ không đến. Nói cách khác, cuộc họp bị hoãn.",0,0,False
つもりでした,Đã dự định/không dự định(làm gì),N3,"Cấu trúc: Vる / Vない + つもりでした.
Cách dùng: Dùng để diễn tả: đã dự định/không dự định(làm gì).",昨日勉強するつもりでしたが、寝てしまいました。,Hôm qua tôi đã định học nhưng lại ngủ mất.,0,0,False
うちに,Trong lúc/trong khi,N3,"Cấu trúc: thể thông thường + うちに.
Cách dùng: Dùng để diễn tả: trong lúc/trong khi.",若いうちにたくさん経験した方がいいです。,Nên trải nghiệm nhiều khi còn trẻ.,0,0,False
は別として,Ngoại trừ/...thì không nói/không quan trọng,N3,"Cấu trúc: N + は別として.
Cách dùng: Dùng để diễn tả: ngoại trừ/…thì không nói/không quan trọng.",値段は別として、この商品はとても良いです。,"Không nói đến giá cả, sản phẩm này rất tốt.",0,0,False
はもちろん,Không chỉ/không những...mà còn,N3,"Cấu trúc: N + はもちろん、...も.
Cách dùng: Dùng để diễn tả: không chỉ/không những…mà còn.",日本語はもちろん、英語も勉強しています。,"Không chỉ tiếng Nhật, tôi còn học cả tiếng Anh.",0,0,False
は～で有名,Nổi tiếng vì.../nổi tiếng với...,N3,"Cấu trúc: N + は + N + で有名.
Cách dùng: Dùng để diễn tả: nổi tiếng vì…/nổi tiếng với….",京都はお寺で有名です。,Kyoto nổi tiếng với các ngôi chùa.,0,0,False
わけだ,Hèn chi/chẳng trách là,N3,"Cấu trúc: thể thông thường + わけだ.
Cách dùng: Dùng để diễn tả: hèn chi/chẳng trách là.",彼は十年日本に住んでいた。日本語が上手なわけだ。,Anh ấy sống ở Nhật 10 năm. Hèn chi tiếng Nhật giỏi.,0,0,False
わけではない,Không phải là/không hẳn là,N3,"Cấu trúc: thể thông thường + わけではない.
Cách dùng: Dùng để diễn tả: không phải là/không hẳn là.",嫌いなわけではありませんが、あまり食べません。,"Không phải là tôi ghét, nhưng tôi không ăn nhiều.",0,0,False
わけがない,Không lý nào/không có khả năng,N3,"Cấu trúc: thể thông thường + わけがない.
Cách dùng: Dùng để diễn tả: không lý nào/không có khả năng.",彼がそんなことを言うわけがありません。,Không lý nào anh ấy lại nói điều như vậy.,0,0,False
わけにはいかない,Nên không thể/đành phải,N3,"Cấu trúc: Vる / Vない + わけにはいかない.
Cách dùng: Dùng để diễn tả: nên không thể/đành phải.",明日は試験なので、遊ぶわけにはいきません。,Ngày mai có thi nên tôi không thể đi chơi được.,0,0,False
わりには,Dù.../tuy...nhưng,N3,"Cấu trúc: thể thông thường + わりには.
Cách dùng: Dùng để diễn tả: dù…/tuy…nhưng.",彼は年齢のわりには若く見えます。,So với tuổi thì anh ấy trông trẻ.,0,0,False
わざと,Cố tình/cố ý...,N3,"Cấu trúc: わざと + V.
Cách dùng: Dùng để diễn tả: cố tình/cố ý….",彼はわざと間違えたふりをしました。,Anh ấy cố tình giả vờ làm sai.,0,0,False
わざわざ,Cất công....,N3,"Cấu trúc: わざわざ + V.
Cách dùng: Dùng để diễn tả: cất công…..",わざわざ来てくれてありがとう。,Cảm ơn bạn đã cất công đến.,0,0,False
よりも,Hơn/so với/hơn là...,N3,"Cấu trúc: N / thể thông thường + よりも.
Cách dùng: Dùng để diễn tả: hơn/so với/hơn là….",電車よりも自転車の方が便利です。,Xe đạp tiện hơn tàu điện.,0,0,False
ようと思う,Dự định làm gì,N3,"Cấu trúc: Vよう + と思う.
Cách dùng: Dùng để diễn tả: dự định làm gì.",来年日本へ行こうと思っています。,Tôi đang định năm sau đi Nhật.,0,0,False
ようとしない,Không định làm gì,N3,"Cấu trúc: Vよう + としない.
Cách dùng: Dùng để diễn tả: không định làm gì.",彼は自分の間違いを認めようとしません。,Anh ấy không chịu thừa nhận lỗi của mình.,0,0,False
ようとする,Định làm gì,N3,"Cấu trúc: Vよう + とする.
Cách dùng: Dùng để diễn tả: định làm gì.",家を出ようとした時、電話が鳴りました。,Khi tôi định ra khỏi nhà thì điện thoại reo.,0,0,False
ように,Như là/giống như là,N3,"Cấu trúc: thể thông thường + ように.
Cách dùng: Dùng để diễn tả: như là/giống như là.",忘れないようにメモしてください。,Hãy ghi chú để không quên.,0,0,False
ように言う,Nói(ai)/nhờ(ai)...hãy/không làm gì đó,N3,"Cấu trúc: Vる / Vない + ように言う.
Cách dùng: Dùng để diễn tả: nói(ai)/nhờ(ai)…hãy/không làm gì đó.",先生は毎日練習するように言いました。,Giáo viên đã nói hãy luyện tập mỗi ngày.,0,0,False
ようになる,Trở thành,N3,"Cấu trúc: Vる / Vない + ようになる.
Cách dùng: Dùng để diễn tả: trở thành.",少し日本語が話せるようになりました。,Tôi đã có thể nói tiếng Nhật một chút.,0,0,False
ようにする,Cố gắng làm,N3,"Cấu trúc: Vる / Vない + ようにする.
Cách dùng: Dùng để diễn tả: cố gắng làm.",毎日早く寝るようにしています。,Tôi cố gắng ngủ sớm mỗi ngày.,0,0,False
ずに,Không,N3,"Cấu trúc: Vない + ずに.
Cách dùng: Dùng để diễn tả: không.",朝ご飯を食べずに学校へ行きました。,Tôi đã đi học mà không ăn sáng.,0,0,False
