Kanji,Hiragana,Meaning,Level,Example,CorrectCount,WrongCount,IsDifficult
失望＜する＞,しつぼう＜する＞,Sự thất vọng,N2,友達（ともだち）のひきょうなやり方に心（こころ）から失望（しつぼう）した。,0,0,False
絶望＜する＞,ぜつぼう＜する＞,Sự tuyệt vọng,N2,何（なに）をやってもうまくいかない。人生（じんせい）に絶望（ぜつぼう）してしまいそうだ。,0,0,False
傷つく,きずつく,Tổn thương,N2,弟（おとうと）は、すぐに傷（きず）つくタイプだ。,0,0,False
わずらわしい,わずらわしい,"Phiền phức, phiền toái",N2,ときどき、人間（にんげん）関係（かんけい）がわずらわしくなる。,0,0,False
うんざり＜する＞,うんざり＜する＞,"Chán ngán, ngán ngẩm",N2,彼（かれ）の言い訳（いいわけ）には、もううんざりだ。,0,0,False
戸惑う,とまどう,"Phân vân, băn khoăn",N2,初（はじ）めての仕事（しごと）で戸惑（とまど）ってしまった。,0,0,False
ためらう,ためらう,"Do dự, lưỡng lự",N2,街（まち）で部長（ぶちょう）に会（あ）ったが、声（こえ）をかけるのをためらった。,0,0,False
申し訳ない,もうしわけない,"Cảm thấy có lỗi, khó tha thứ",N2,去年（きょねん）は帰国（きこく）せず、両親（りょうしん）には申し訳（もうしわけ）ないことをした。,0,0,False
すまない,すまない,Xin lỗi,N2,長（なが）い間（ま）苦労（くろう）をかけて、すまなかったね。,0,0,False
仕方[が]ない,しかた[が]ない,"Đành chịu, không còn cách nào khác",N2,私（わたし）がうそをついたのだから、彼（かれ）が怒（おこ）っても仕方（しかた）ない。,1,0,False
しまった,しまった,"Tiêu rồi, chết rồi, thôi rồi",N2,しまった！宿題（しゅくだい）、忘（わす）れた！,0,0,False
恐れる,おそれる,"Sợ, e sợ, khiếp sợ",N2,私（わたし）は、いつも失敗（しっぱい）を恐（おそ）れている。,0,0,False
情けない,なさけない,"Đáng buồn, đáng trách, tội nghiệp",N2,テストで0点（てん）を取（と）るなんて、情（なさ）けない。,0,0,False
恥,はじ,"Sự xấu hổ, mắc cỡ",N2,駅（えき）の階段（かいだん）で転（ころ）んで、恥（はじ）をかいた。,0,0,False
別に（〜ない）,べつに（～ない）,"Ngoài ra, (không có gì) đặc biệt",N2,,0,0,False
構わない,かまわない,"Không sao, không bận tâm",N2,あんな人（ひと）に何（なに）を言（い）われても、構（かま）わない。,0,0,False
快適な,かいてきな,"Sảng khoái, dễ chịu, thoải mái",N2,このホテルは、とても快適（かいてき）だ。,0,0,False
快い,こころよい,"Dễ chịu, du dương",N2,この音楽（おんがく）は快（こころよ）い気分（きぶん）にさせてくれる。,0,0,False
心地よい,ここちよい,"Dễ chịu, thích thú, êm ái",N2,窓（まど）から心地（ここち）よい風（かぜ）が入（はい）ってきた。,0,0,False
すがすがしい,すがすがしい,"Khỏe khoắn, sảng khoái",N2,試験（しけん）が終（お）わって、すがすがしい気分（きぶん）だ。,0,0,False
リフレッシュ＜する＞,リフレッシュ＜する＞,"Sự làm mới, làm cho tỉnh người",N2,週末（しゅうまつ）はテニスをして、リフレッシュする。,0,0,False
穏やかな,おだやかな,"Ôn hòa, thanh thản, yên ả",N2,いつも穏（おだ）やかな気持（きも）ちでいたい。,0,0,False
心強い,こころづよい,"Ủng hộ, động viên tinh thần",N2,彼（かれ）がいてくれると、とても心強（こころづよ）い。,0,0,False
恋しい,こいしい,Nhung nhớ,N2,さっきまで会（あ）っていたのに、彼女（かのじょ）が恋（こい）しい。,0,0,False
前向き,まえむき,"Tích cực, hướng về phía trước",N2,彼（かれ）はいつでも前向（まえむ）きに努力（どりょく）する。,0,0,False
めでたい,めでたい,"Đáng mừng, vui mừng",N2,最近（さいきん）、家族（かぞく）にめでたいことが続（つづ）いている。,0,0,False
ラッキーな,ラッキーな,May mắn,N2,今日（きょう）は何（なん）だかラッキーな日（ひ）だ。,0,0,False
幸福＜な＞,こうふく＜な＞,"Niềm hạnh phúc, hạnh phúc",N2,彼女（かのじょ）と出会（であ）ってから、穏（おだ）やかで幸福（こうふく）な毎日（まいにち）だ。（け形）,0,0,False
張り切る,はりきる,"Hăng hái, sẵn sàng",N2,彼（かれ）は入社（にゅうしゃ）後（ご）、張り切（はりき）って仕事（しごと）に取り組（とりく）んでいる。,0,0,False
わくわく＜する＞,わくわく＜する＞,"Hồi hộp, phấn khởi",N2,もうすぐ夏休（なつやす）みだ。わくわくする。,0,0,False
そわそわ[と]＜する＞,そわそわ[と]＜する＞,Sốt ruột,N2,デートの日（ひ）の朝（あさ）はそわそわと落ち着（おちつ）かない。,0,0,False
うっとり[と]＜する＞,うっとり[と]＜する＞,"Như bị thôi miên, say đắm, lãng đãng",N2,好（す）きな歌手（かしゅ）のコンサートで、うっとりした気分（きぶん）になる。,0,0,False
すっと＜する＞,すっと＜する＞,"Nhẹ nhàng, nhẹ nhõm",N2,言（い）いたいことを全部（ぜんぶ）言（い）って、胸（むね）がすっとした。,0,0,False
気分転換＜する＞,きぶんてんかん＜する＞,Sự thay đổi tâm trạng,N2,カラオケで気分（きぶん）転換（てんかん）して、すっきりした。,0,0,False
旅,たび,"Chuyến đi, hành trình",N2,初（はじ）めて一人（ひとり）で旅（たび）をした。,0,0,False
レジャー,レジャー,"Thư giãn, trò giải trí",N2,今年（ことし）は夏（なつ）のレジャーを楽（たの）しむ予定（よてい）だ。,0,0,False
訪れる,おとずれる,"Thăm viếng, đến thăm",N2,①ここは週末（しゅうまつ）になると、多（おお）くの観光（かんこう）客（きゃく）が訪（おとず）れる。,0,0,False
体験＜する＞,たいけん＜する＞,Sự trải nghiệm,N2,異（い）文化（ぶんか）に接（せっ）する体験（たいけん）は、きっと将来（しょうらい）の役に立（やくにた）つ。,0,0,False
冒険＜する＞,ぼうけん＜する＞,"Sự phiêu lưu, mạo hiểm",N2,たまには少（すこ）し冒険（ぼうけん）してみたい。,0,0,False
見聞き＜する＞,みきき＜する＞,"Nghe nhìn, học hỏi",N2,旅行（りょこう）で知（し）らないことを見聞（みき）きしたい。,0,0,False
巡る,めぐる,"Dạo quanh, đi quanh, xoay quanh",N2,①世界（せかい）遺産（いさん）を巡（めぐ）るのが夢（ゆめ）だった。,0,0,False
ブラン,ブラン,Kế hoạch,N2,夏休（なつやす）みのプランを立（た）てる。,0,0,False
思い立つ,おもいたつ,"Nghĩ đến, nảy ra",N2,連休（れんきゅう）中（ちゅう）、急（きゅう）に旅行（りょこう）を思い立（おもいた）った。,0,0,False
豪華な,ごうかな,"Lộng lẫy, hào nhoáng",N2,世界（せかい）を巡（めぐ）る豪華（ごうか）な船旅（ふなたび）をしてみたい。,0,0,False
手配＜する＞,てはい＜する＞,"Chuẩn bị, sắp xếp, truy lùng",N2,①旅行（りょこう）会社（かいしゃ）でホテルと飛行機（ひこうき）を手配（てはい）した。,0,0,False
前もって,まえもって,Trước,N2,現地（げんち）の友達（ともだち）に前（まえ）もって連絡（れんらく）しておこう。,0,0,False
便,びん,Chuyến,N2,出発（しゅっぱつ）は午後（ごご）の便（びん）になった。,0,0,False
空席,くうせき,Ghế trống,N2,飛行機（ひこうき）に空席（くうせき）があって、よかった。,0,0,False
超過＜する＞,ちょうか＜する＞,Vượt quá,N2,荷物（にもつ）が多（おお）すぎて、空港（くうこう）で超過（ちょうか）料金（りょうきん）を払（はら）った。,0,0,False
飛ぶ,とぶ,Bay,N2,飛行機（ひこうき）は時間（じかん）通（どお）りに飛（と）んだ。,0,0,False
思いがけず,おもいがけず,"Tình cờ, không ngờ",N2,思（おも）いがけず、知（し）り合（あ）いと同（おな）じ便（びん）だった。,0,0,False
引き返す,ひきかえす,"Quay lại, quay ngược lại",N2,行（い）きの便（びん）はエンジントラブルで、空港（くうこう）に引き返（ひきかえ）した。,0,0,False
間もなく,まもなく,"Chốc lát, sắp sửa, chẳng bao lâu",N2,バスは間（ま）もなく目的（もくてき）地（ち）に着（つ）く。,0,0,False
宿泊＜する＞,しゅくはく＜する＞,"Sự lưu trú, ngủ trọ",N2,町（まち）の中心（ちゅうしん）にあるホテルに宿泊（しゅくはく）した。,0,0,False
大幅な,おおはばな,"Lớn, rộng, nhiều",N2,連休（れんきゅう）中（ちゅう）は旅行（りょこう）代（だい）が大幅（おおはば）に上（あ）がる。,0,0,False
旅先,たびさき,"Nơi đi du lịch, điểm đến",N2,旅先（たびさき）から友達（ともだち）に、はがきを送（おく）った。,0,0,False
各地,かくち,"Các nơi, các địa phương",N2,連休（れんきゅう）に友達（ともだち）と日本（にほん）の各地（かくち）を回（まわ）るつもりだ。,0,0,False
名所,めいしょ,Danh lam thắng cảnh,N2,観光（かんこう）の名所（めいしょ）をガイドブックで調（しら）べる。,0,0,False
市場,いちば,"Thị trường, chợ",N2,外国（がいこく）の市場（しじょう）には見（み）たこともない野菜（やさい）がある。,0,0,False
免税店,めんぜいてん,Cửa hàng miễn phí,N2,空港（くうこう）の免税（めんぜい）店（てん）で化粧（けしょう）品（ひん）を買（か）った。,0,0,False
風景,ふうけい,Phong cảnh,N2,目（め）の前（まえ）の風景（ふうけい）を、しっかりと記憶（きおく）しておこう。,0,0,False
海水浴,かいすいよく,Sự tắm biển,N2,ホテルの近（ちか）くに海（うみ）があるので、海水浴（かいすいよく）もできる。,0,0,False
もぐる,もぐる,Lặn,N2,こんな美（うつく）しい海（うみ）にもぐれるなんて、感動（かんどう）する。,0,0,False
跡,あと,Dấu vết,N2,砂（すな）の上（うえ）に、足（あし）の跡（あと）がはっきり残（のこ）った。,0,0,False
位置,いち,"Vị trí, địa điểm",N2,スマホで現在（げんざい）の位置（いち）を調（しら）べる。,0,0,False
めいめい,めいめい,"Từng người, mỗi người",N2,朝（あさ）はめいめい好（す）きなものを皿（さら）にとって食（た）べる。,0,0,False
しばしば,しばしば,Thường nhiều lần,N2,ハワイの観光（かんこう）地（ち）で、しばしば日本人（にほんじん）を見（み）かけた。,0,0,False
出来事,できごと,Sự kiện,N2,旅行（りょこう）での出来事（できごと）は、全部（ぜんぶ）いい思い出（おもいで）だ。,0,0,False
行き先,い/ゆきさき,Nơi đi đến,N2,,0,0,False
方面,ほうめん,Hướng,N2,東京（とうきょう）方面（ほうめん）の電車（でんしゃ）が止（と）まっているそうだ。,0,0,False
行き帰り,い/ゆきかえり,Sự đi và về,N2,,0,0,False
横断＜する＞,おうだん＜する＞,Sự băng qua,N2,車（くるま）が行き来（いきき）する道（みち）を横断（おうだん）するときは注意（ちゅうい）しよう。,0,0,False
通行＜する＞,つうこう＜する＞,"Sự đi lại, lưu thông",N2,この道（みち）は車（くるま）は通行（つうこう）できない。,0,0,False
歩行者,ほこうしゃ,Người đi bộ,N2,歩行（ほこう）者（しゃ）がトラックにひかれた。,0,0,False
絶えず,たえず,"Không dứt, không ngừng",N2,この道路（どうろ）は絶（た）えず出（しゅつ）が通（かよ）っている。,0,0,False
手段,しゅだん,Phương tiện,N2,ここへ行（い）くには、どの交通（こうつう）手段（しゅだん）が一番（いちばん）早（はや）いですか。,0,0,False
公共,こうきょう,Công cộng,N2,バスも電車（でんしゃ）も公共（こうきょう）の交通（こうつう）手段（しゅだん）だ。,0,0,False
運賃,うんちん,"Tiền cước, phí vận chuyển",N2,日本（にほん）は物（もの）だけでなく、運賃（うんちん）も高（たか）い。,0,0,False
つかまる,つかまる,"Nắm, cầm",N2,電車（でんしゃ）がゆれるので、つり革（かわ）につかまった。,0,0,False
アナウンス＜する＞,アナウンス＜する＞,"Loa thông báo, sự thông báo",N2,駅（えき）のアナウンスで事故（じこ）を知（し）った。,0,0,False
見合わせる,みあわせる,"Nhìn nhau, hoãn",N2,今（いま）、電車（でんしゃ）が運転（うんてん）を見合（みあ）わせている。,0,0,False
乱れる,みだれる,"Xáo trộn, rối loạn, lung tung",N2,①電車（でんしゃ）の到着（とうちゃく）時間（じかん）がかなり乱（みだ）れている。,0,0,False
再開＜する＞,さいかい＜する＞,Sự bắt đầu lại,N2,しばらくして、運転（うんてん）が再開（さいかい）された。,0,0,False
ICカード,アイシーカード,Thẻ IC,N2,電車（でんしゃ）でもバスでもICカードが便利（べんり）だ。,0,0,False
免許,めんきょ,"Sự cho phép, giấy phép",N2,20歳（さい）で車（くるま）の運転（うんてん）免許（めんきょ）を取（と）った。,0,0,False
左右,さゆう,Trái phải,N2,自転車（じてんしゃ）に乗（の）ったら、左右（さゆう）をしっかり見（み）て、交差点（こうさてん）を曲（ま）がる。,0,0,False
直線,ちょくせん,Đường thẳng,N2,直線（ちょくせん）の道（みち）では車（くるま）がスピードを出（だ）しがちだ。,0,0,False
なだらかな,なだらかな,"Nhẹ, mềm",N2,事故（じこ）現場（げんば）はなだらかなカーブだった。,0,0,False
間隔,かんかく,Khoảng cách,N2,高速（こうそく）道路（どうろ）では前（まえ）の車（くるま）と間隔（かんかく）をあけて走（はし）る。,0,0,False
スムーズな,スムーズな,"Trôi chảy, thuận lợi",N2,今日（きょう）は渋滞（じゅうたい）もなく、車（くるま）はスムーズに進（すす）んでいる。,0,0,False
指す,さす,Chỉ,N2,スピードメーターの針（はり）が120キロを指（さ）している。,0,0,False
のろのろ＜な/する＞,のろのろ＜な/する＞,"Chầm chậm, chậm chạp, lờ đờ",N2,前（まえ）の車（くるま）がのろのろ走（はし）っている。（副（ふく））,0,0,False
ぐるぐる[と],ぐるぐる[と],"Loanh quanh, xoay",N2,道（みち）に迷（まよ）って、同（おな）じ道（みち）をぐるぐる回（まわ）った。,0,0,False
パンク＜する＞,パンク＜する＞,"Sự nổ lốp, bể bánh xe",N2,高速（こうそく）道路（どうろ）でパンクしてしまった。,0,0,False
慎重な,しんちょうな,Thận trọng,N2,車（くるま）は慎重（しんちょう）に運転（うんてん）するべきだ。,0,0,False
気を抜く,きをぬく,"Lơ là, lơ đãng, bất cẩn",N2,道（みち）が空（あ）いていても、気（き）を抜（ぬ）いてはいけない。,0,0,False
イベント,イベント,Sự kiện,N2,週末（しゅうまつ）のイベントが楽（たの）しみだ。,0,0,False
アイドル,アイドル,Thần tượng,N2,大好（だいす）きなアイドルのコンサートには必（かなら）ず行（い）く。,1,0,False
ステージ,ステージ,Sân khấu,N2,アイドルがステージに現（あらわ）れた。,0,0,False
興奮＜する＞,こうふん＜する＞,Sự phấn khích,N2,会場（かいじょう）の空気（くうき）にファン達（たち）は興奮（こうふん）した。,0,0,False
続々[と],ぞくぞく[と],"Lần lượt, liên tục",N2,会場（かいじょう）に続々（ぞくぞく）と人（ひと）が集（あつ）まった。,0,0,False
演劇,えんげき,Kịch,N2,父（ちち）は演劇（えんげき）を見（み）に行（い）くのが趣味（しゅみ）だ。,0,0,False
劇場,げきじょう,"Nhà hát, sân khấu",N2,今度（こんど）の日曜（にちよう）に、劇場（げきじょう）に芝居（しばい）を見（み）に行（い）く。,0,0,False
役者,やくしゃ,Diễn viên,N2,好（す）きな役者（やくしゃ）が出（で）る演劇（えんげき）を見（み）に行（い）った。,0,0,False
主役,しゅやく,Vai chính,N2,主役（しゅやく）は今（いま）一（いち）番（ばん）人気（にんき）がある女優（じょゆう）だ。,0,0,False
セリフ,セリフ,"Lời thoại, ăn nói",N2,①役者（やくしゃ）はセリフを覚（おぼ）えるのも仕事（しごと）だ。,0,0,False
演技くする>,えんぎくする>,"Sự diễn xuất, diễn kịch (giả tạo)",N2,,0,0,False
オーケストラ,オーケストラ,"Hòa nhạc, dàn nhạc",N2,月（つき）に1回（かい）はオーケストラを聴（き）きに行（い）く。,0,0,False
リズム,リズム,Giai điệu,N2,リズムに合（あ）わせて、みんなで踊（おど）る。,0,1,True
鑑賞＜する＞,かんしょう＜する＞,"Thưởng lãm, thưởng thức",N2,家（いえ）で映画（えいが）を鑑賞（かんしょう）する。,0,0,False
芸術家,げいじゅつか,"Nghệ sỹ, nghệ thuật gia",N2,これは有名（ゆうめい）な芸術（げいじゅつ）家（か）の物語（ものがたり）だ。,0,0,False
監督＜する＞,かんとく＜する＞,Đạo diễn,N2,この監督（かんとく）の映画（えいが）は全（すべ）て見（み）ている。,0,0,False
あらすじ,あらすじ,"Tóm tắt, phác thảo",N2,ネットであらすじを見（み）てから、映画（えいが）を見（み）に行（い）く。,0,0,False
ありふれた,ありふれた,"Cũ rích, xưa, tầm thường",N2,どこかで聞（き）いたようなありふれた話（はなし）は、つまらない。,0,0,False
ばかばかしい,ばかばかしい,"Ngu ngốc, nực cười",N2,あの映画（えいが）はばかばかしいストーリーだが、面白（おもしろ）かった。,0,0,False
退屈＜な/する＞,たいくつ＜な/する＞,"Buồn tẻ, chán ngắt",N2,,0,0,False
人物,じんぶつ,Nhân vật,N2,このドラマに登場（とうじょう）する人物（じんぶつ）は、みんなユニークだ。,0,0,False
場面,ばめん,"Cảnh, trường hợp, tình huống",N2,①主役（しゅやく）が死（し）ぬ場面（ばめん）で大声（おおごえ）で泣（な）いてしまった。,0,0,False
展開＜する＞,てんかい＜する＞,"Sự triển khai, tiến triển, diễn biến",N2,このゲームは予想（よそう）できない展開（てんかい）で、面白（おもしろ）かった。,0,0,False
テンポ,テンポ,"Nhịp độ, nhịp điệu",N2,①この話（はなし）はテンポが速（はや）くて、あっという間に終（お）わった。,0,0,False
評判,ひょうばん,"Sự bình luận, đánh giá",N2,彼（かれ）の映画（えいが）は評判（ひょうばん）がいいが、私（わたし）は好（す）きではない。,0,0,False
評価＜する＞,ひょうか＜する＞,Sự đánh giá,N2,この監督（かんとく）の映画（えいが）は海外（かいがい）で評価（ひょうか）が高（たか）い。,0,0,False
感想,かんそう,Cảm tưởng,N2,あの映画（えいが）見（み）たの？感想（かんそう）聞（き）かせて。,0,0,False
賞,しょう,Giải thưởng,N2,人気（にんき）映画（えいが）の最新（さいしん）作（さく）が映画（えいが）祭（さい）で賞（しょう）をもらった。,0,0,False
憎らしい,にくらしい,"Đáng ghét, ghê tởm",N2,兄（あに）は、いつも憎（にく）らしいことを言（い）う。,0,0,False
強引な,ごういんな,Ép buộc,N2,兄（あに）の友人（ゆうじん）に強引（ごういん）に食事（しょくじ）に誘（さそ）われた。,1,0,False
うっとうしい,うっとうしい,"U ám, buồn rầu, ủ dột, nhặng xị, ồn ào",N2,①梅雨（つゆ）に入（はい）って、うっとうしい天気（てんき）が続（つづ）く。,0,0,False
やっかい＜な＞,やっかい＜な＞,"Sự phiền phức, rắc rối",N2,やっかいな仕事（しごと）を引き受（ひきう）けてしまった。（ナ形）,0,0,False
とんでもない,とんでもない,"Quá đáng không thể nào, không dám đâu",N2,①彼（かれ）は非常識（ひじょうしき）で、とんでもないやつだ。,0,0,False
安易な,あんいな,"Dễ dàng, đơn giản",N2,安易（あんい）に人（ひと）を信（しん）じて、だまされてしまった。,0,0,False
無難な,ぶなんな,"An toàn, vừa phải, chấp nhận được",N2,彼（かれ）の答（こた）えは、いつも無難（ぶなん）だ。,0,0,False
平凡な,へいぼんな,"Bình thường, bình lặng",N2,平凡（へいぼん）な毎日（まいにち）で退屈（たいくつ）だ。,0,0,False
みっともない,みっともない,"Thiếu lịch sự, không đứng đắn, hổ thẹn",N2,そんなみっともない服装（ふくそう）で出（で）かけるの？,0,0,False
見苦しい,みぐるしい,"Xấu, khó coi",N2,彼（かれ）は負（ま）けたくせに怒（おこ）っている。見苦（みぐる）しい。,0,0,False
みにくい,みにくい,"Xấu xí, khó coi",N2,兄弟（きょうだい）だから、お金のことでみにくい急（いそ）いをしたくない。,0,0,False
ぼろぼろな,ぼろぼろな,"Rách nát, tả tơi",N2,このコートはぼろぼろだ。もう捨（す）てよう。,0,0,False
あわれな,あわれな,Đáng thương,N2,あわれな子（こ）どもの話（はなし）を聞（き）き、涙（なみだ）が出（で）た。,0,0,False
乏しい,とぼしい,"Thiếu thốn, hạn hẹp, keo kiệt, bần cùng",N2,彼（かれ）は想像（そうぞう）力（りょく）が乏（とぼ）しく、話（はな）していてもつまらない。,0,0,False
中途半端＜な＞,ちゅうとはんぱ＜な＞,"Nửa chừng, nửa vời",N2,弟（おとうと）とは、することがいつも中途半端（ちゅうとはんぱ）だ。（ナ形）,0,0,False
まごまご＜する＞,まごまご＜する＞,"Lúng túng, hoang mang, loay hoay",N2,ATMの操作（そうさ）がわからず、まごまごした。,0,0,False
矛盾＜する＞,むじゅん＜する＞,"Mâu thuẫn, trái ngược",N2,彼（かれ）の話（はなし）は矛盾（むじゅん）している。,0,0,False
にやにや＜する＞,にやにや＜する＞,"Cười giả tạo, màu mè",N2,人（ひと）を見（み）て、にやにやするのはやめなさい。,0,0,False
でこぼこ＜な/する＞,でこぼこ＜な/する＞,"Lồi lõm, gập ghềnh",N2,学校（がっこう）の前（まえ）の道（みち）はでこぼこだ。（ナ形）,0,0,False
それなり,それなり,Trong chừng mực nào đó,N2,このドラマは評判（ひょうばん）が悪（わる）いが、それなりに面白（おもしろ）い。,0,0,False
はきはき＜する＞,はきはき＜する＞,"Quả quyết, sinh động, rõ ràng",N2,生徒（せいと）は先生（せんせい）の質問（しつもん）にはきはき箕（みの）えた。,0,0,False
清潔な,せいけつな,Sạch sẽ,N2,このデパートはトイレを清潔（せいけつ）に保（たも）っている。,1,0,False
客観的な,きゃっかんてきな,Mang tính khách quan,N2,社長（しゃちょう）の意見（いけん）は、いつも客観（きゃっかん）的（てき）だ。,0,0,False
冷静な,れいせいな,"Điềm tĩnh, bình tĩnh",N2,彼女（かのじょ）は何（なに）があっても、冷静（れいせい）に対応（たいおう）する。,0,0,False
もっともな,もっともな,"Đương nhiên, đúng đắn, có lý",N2,彼女（かのじょ）が怒（おこ）るのはもっともだと思（おも）う。,0,0,False
謙そん＜する＞,けんそん＜する＞,"Sự khiêm tốn, khiêm nhường",N2,日本（にほん）には謙（けん）そんの文化（ぶんか）がある。,0,0,False
若々しい,わかわかしい,"Trẻ trung, đầy sức sống",N2,私（わたし）の祖母（そぼ）は外見（がいけん）も気持（きも）ちも若々（わかわか）しい。,0,0,False
ユニークな,ユニークな,"Duy nhất, độc đáo",N2,ユニークな建築（けんちく）物（ぶつ）を見（み）るのが好（す）きだ。,0,0,False
唯一,ゆいいつ,Sự duy nhất,N2,彼（かれ）は唯一（ゆいいつ）信頼（しんらい）できる人（ひと）だ。,0,0,False
洗練＜する＞,せんれん＜する＞,"Vẻ lịch sự, tinh tế",N2,彼（かれ）の小説（しょうせつ）は文章（ぶんしょう）が洗練（せんれん）されている。,0,0,False
品,ひん,"Phẩm chất, phẩm giá",N2,彼女（かのじょ）の言葉（ことば）づかいは、とても品（しな）がある。,0,0,False
広々「と」＜する＞,ひろびろ「と」＜する＞,"Rộng lớn, rộng rãi",N2,,0,0,False
ふわふわ＜な/する＞,ふわふわ＜な/する＞,"Mềm mại, êm ái",N2,このパンはふわふわしていて、おいしそうだ。,0,0,False
断然,だんぜん,"Rõ ràng, hoàn toàn",N2,私（わたし）は断然（だんぜん）こっちの絵（え）が好（す）きだ。（副（ふく））,0,0,False
結構な,けっこうな,"Tốt, đủ, được",N2,①結構（けっこう）な物（もの）を、ありがとうございました。,0,0,False
見事な,みごとな,"Đẹp, tuyệt vời",N2,彼（かれ）の作品（さくひん）は、いつも見事（みごと）だ。,0,0,False
貴重な,きちょうな,"Quý giá, quý trọng",N2,留学（りゅうがく）は、とても貴重（きちょう）な経験（けいけん）だ。,0,0,False
質素＜な＞,しっそ＜な＞,"Sự giản dị, giản dị",N2,無駄（むだ）のない、質素（しっそ）な生活（せいかつ）を送（おく）っていふ。,0,0,False
同様な,どうような,Tương tự,N2,今（いま）までと同様（どうよう）に、これからもよろしくお願いします。,0,0,False
学ぶ,まなぶ,Học,N2,日本（にほん）で日本語（にほんご）と文化（ぶんか）を学（まな）びたい。,0,0,False
学習＜する＞,がくしゅう＜する＞,Việc học tập,N2,一（いち）日（にち）の学習（がくしゅう）時間（じかん）は8時間（じかん）くらいだ。,0,0,False
学力,がくりょく,Học lực,N2,大学（だいがく）に進学（しんがく）できる学力（がくりょく）をつけたい。,0,0,False
教養,きょうよう,"Sự giáo dục, sự nuôi dưỡng",N2,人（ひと）には教養（きょうよう）が必要（ひつよう）だ。,0,0,False
参考書,さんこうしょ,Sách tham khảo,N2,どの参考（さんこう）書（しょ）がいいか、先生（せんせい）に教（おし）えていただいた。,0,0,False
書き込む,かきこむ,Viết vào,N2,教科書（きょうかしょ）に授業（じゅぎょう）のメモを書き込（かきこ）む。,0,0,False
書き取る,かきとる,"Viết chính tả, (nghe rồi viết)",N2,会話（かいわ）問題（もんだい）を聞（き）いて書き取（かきと）る。,0,0,False
記号,きごう,Ký hiệu,N2,記号（きごう）の「※」は「こめじるし」と読（よ）む。,0,0,False
図,ず,Hình minh họa,N2,遠藤（えんどう）先生（せんせい）は絵（え）と図（ず）で、わかりやすく説明（せつめい）する。,0,0,False
下線,かせん,Đường gạch dưới,N2,教科書（きょうかしょ）のキーワードに下線（かせん）を引（ひ）く。,0,0,False
法則,ほうそく,"Quy tắc, quy luật",N2,インターネットで引力（いんりょく）の法則（ほうそく）について調（しら）べる。,0,0,False
志す,こころざす,"Mong mỏi, khao khát, thiết tha",N2,学者（がくしゃ）を志（こころざ）して、数（かず）を続（つづ）ける。,0,0,False
徹夜＜する＞,てつや＜する＞,"Sự thức suốt đêm, thức trắng đêm",N2,昨日（きのう）徹夜（てつや）したので、今日（きょう）はとても眠（ねむ）い。,0,0,False
上達＜する＞,じょうたつ＜する＞,"Sự tiến bộ, tiến triển",N2,半年（はんとし）で会話（かいわ）力（りょく）が、かなり上達（じょうたつ）した。,0,0,False
こつこつ[と],こつこつ[と],"Từng chút, lọc cọc",N2,①毎日（まいにち）こつこつと勉強（べんきょう）を続（つづ）けている。,0,0,False
地道な,じみちな,"Đều đặn, vững chắc",N2,毎日（まいにち）、地道（じみち）に日本語（にほんご）を勉強（べんきょう）している。,0,0,False
根気,こんき,Sự kiên nhẫn,N2,単語（たんご）は根気（こんき）よく覚（おぼ）えよう。,0,0,False
効率的な,こうりつてき,Một cách hiệu quả,N2,時間（じかん）を上手（じょうず）に使（つか）って、効率（こうりつ）的（てき）に勉強（べんきょう）する。,0,0,False
旺盛な,おうせいな,"Mạnh mẽ, nồng nhiệt",N2,好奇（こうき）心（しん）旺盛（おうせい）に新（あたら）しいことを学（まな）ぶ。,0,0,False
基礎,きそ,"Căn bản, nền tảng",N2,日本語（にほんご）の基礎（きそ）を、しっかり学（まな）びたい。,0,0,False
基本,きほん,"Cơ bản, căn bản",N2,文法（ぶんぽう）の基本（きほん）を学（まな）んでから、会話（かいわ）を勉強（べんきょう）する。,0,0,False
除く,のぞく,"Trừ ra, loại trừ",N2,漢字（かんじ）を除（のぞ）けば、日本語（にほんご）の勉強（べんきょう）は特（とく）に難（むずか）しくない。,1,0,False
現状,げんじょう,Hiện trạng,N2,先生（せんせい）に、現状（げんじょう）では希望（きぼう）の大学（だいがく）は難（むずか）しいと言（い）われた。,0,0,False
おろそかな,おろそかな,"Thờ ơ, sao lãng",N2,学生（がくせい）は勉強（べんきょう）をおろそかにしてはいけない。,0,0,False
可能＜な＞,かのう＜な＞,"Khả năng, có thể",N2,が可能（かのう）になる。（名）,1,0,False
実現＜する＞,じつげん＜する＞,Sự thực hiện,N2,夢（ゆめ）を実現（じつげん）するためには努力（どりょく）が必要（ひつよう）だ。,1,0,False
混同＜する＞,こんどう＜する＞,"Sự lẫn lộn, nhầm lẫn",N2,似（に）ている副詞（ふくし）は混同（こんどう）しやすい。,0,0,False
複数,ふくすう,Số nhiều,N2,日本語（にほんご）の名詞（めいし）には単数（たんすう）形（がた）も複数（ふくすう）形（がた）もない。,0,0,False
活用＜する＞,かつよう＜する＞,"Sự sử dụng hiệu quả, sự tận dụng",N2,言葉（ことば）を調（しら）べるときは、スマホを活用（かつよう）している。,0,0,False
気候,きこう,"Khí hậu, thời tiết",N2,この辺（あた）りは一年中（いちねんじゅう）温暖（おんだん）な気候（きこう）だ。,0,0,False
